case_type	audio_id	asr_run_id	split	reference_label	asr_label	decision_distance	cer	wer	sres_total	ceis	max_variant_id	risk_atom_type	all_risk_atoms	confidence_signal_available	safe_for_git	reason
sres_high_ceis_low	janus_validation_000497	whisper_small_15_row_baseline	validation	critical_escalation	critical_escalation	0	45.45	100.00	255.000	0.0000	v_01_negation	negation	action|negation|scam_pattern|time	no	yes_no_transcript	SRES is high but CEIS stays low, useful as a contrast case
sres_high_ceis_low	janus_validation_000421	whisper_large_v2_15_row_baseline	validation	critical_escalation	critical_escalation	0	47.73	100.00	195.000	0.0000	v_01_actor	actor	action|actor|scam_pattern	no	yes_no_transcript	SRES is high but CEIS stays low, useful as a contrast case
sres_high_ceis_low	janus_validation_000421	breeze_asr25_15_row_baseline	validation	critical_escalation	critical_escalation	0	48.86	100.00	195.000	0.0000	v_01_actor	actor	action|actor|scam_pattern	no	yes_no_transcript	SRES is high but CEIS stays low, useful as a contrast case
sres_high_ceis_low	janus_train_004201	whisper_large_v2_15_row_baseline	train	critical_escalation	critical_escalation	0	50.00	100.00	315.000	0.0000	v_01_negation	negation	action|actor|negation|scam_pattern|time	no	yes_no_transcript	SRES is high but CEIS stays low, useful as a contrast case
sres_high_ceis_low	janus_train_004201	breeze_asr25_15_row_baseline	train	critical_escalation	critical_escalation	0	53.00	200.00	315.000	0.0000	v_01_negation	negation	action|actor|negation|scam_pattern|time	no	yes_no_transcript	SRES is high but CEIS stays low, useful as a contrast case
sres_high_ceis_low	janus_validation_000421	whisper_small_15_row_baseline	validation	critical_escalation	critical_escalation	0	62.50	100.00	195.000	0.0000	v_01_actor	actor	action|actor|scam_pattern	no	yes_no_transcript	SRES is high but CEIS stays low, useful as a contrast case
sres_high_ceis_low	janus_train_004201	whisper_small_15_row_baseline	train	critical_escalation	critical_escalation	0	65.00	100.00	315.000	0.0000	v_01_negation	negation	action|actor|negation|scam_pattern|time	no	yes_no_transcript	SRES is high but CEIS stays low, useful as a contrast case
unsafe_downrouting	janus_train_002527	whisper_large_v2_15_row_baseline	train	critical_escalation	no_escalation	3	90.74	100.00	330.000	15.0000	v_01_negation	negation	action|amount|negation|scam_pattern|time	no	yes_no_transcript	reference is high risk but ASR-side label falls below high-risk routing
unsafe_downrouting	janus_train_002413	whisper_large_v2_15_row_baseline	train	priority_review	no_escalation	2	94.26	100.00	22.000	8.0000	v_01_actor	actor	actor|scam_pattern|uncertainty	no	yes_no_transcript	reference is high risk but ASR-side label falls below high-risk routing
unsafe_downrouting	janus_train_002413	whisper_small_15_row_baseline	train	priority_review	no_escalation	2	225.41	5700.00	22.000	8.0000	v_01_actor	actor	actor|scam_pattern|uncertainty	no	yes_no_transcript	reference is high risk but ASR-side label falls below high-risk routing
