action_id	row_number	action_scope	model_assessment_slot	field_name	status	reviewer_action	timing_start_write_command	timing_finish_write_command
row-13:model_slot-2:model_reviewer_expected_safe_action	13	model_assessment_field	2	model_reviewer_expected_safe_action	pending	fill field for the corresponding model row in local response TSV	not_applicable	not_applicable
row-13:model_slot-2:model_reviewer_would_asr_error_change_decision	13	model_assessment_field	2	model_reviewer_would_asr_error_change_decision	pending	fill field for the corresponding model row in local response TSV	not_applicable	not_applicable
row-13:model_slot-3:model_reviewer_annotation_confidence	13	model_assessment_field	3	model_reviewer_annotation_confidence	pending	fill field for the corresponding model row in local response TSV	not_applicable	not_applicable
row-13:model_slot-3:model_reviewer_critical_atoms	13	model_assessment_field	3	model_reviewer_critical_atoms	pending	fill field for the corresponding model row in local response TSV	not_applicable	not_applicable
row-13:model_slot-3:model_reviewer_expected_safe_action	13	model_assessment_field	3	model_reviewer_expected_safe_action	pending	fill field for the corresponding model row in local response TSV	not_applicable	not_applicable
row-13:model_slot-3:model_reviewer_would_asr_error_change_decision	13	model_assessment_field	3	model_reviewer_would_asr_error_change_decision	pending	fill field for the corresponding model row in local response TSV	not_applicable	not_applicable
row-13:review_timing	13	review_timing		review_timing	pending	record review_started_at/review_finished_at or review_elapsed_seconds	.venv/bin/python 80_semantic_risk_asr/annotation/mark_human_audit_response_timing.py --response-sheet 70_experiments/runs/janus_300_high_stakes_human_audit_selection_2026_05_25/artifacts/review_responses/2026-05-26T095716_0800_high_proxy_risk_response_template.tsv --row-number 13 --mark-start --write	.venv/bin/python 80_semantic_risk_asr/annotation/mark_human_audit_response_timing.py --response-sheet 70_experiments/runs/janus_300_high_stakes_human_audit_selection_2026_05_25/artifacts/review_responses/2026-05-26T095716_0800_high_proxy_risk_response_template.tsv --row-number 13 --mark-finish --write
row-14:row_field:reviewer_semantic_risk_label	14	row_field		reviewer_semantic_risk_label	pending	fill row-level response field in local response TSV	not_applicable	not_applicable
row-14:row_field:reviewer_risk_atoms	14	row_field		reviewer_risk_atoms	pending	fill row-level response field in local response TSV	not_applicable	not_applicable
row-14:row_field:reviewer_critical_atoms	14	row_field		reviewer_critical_atoms	pending	fill row-level response field in local response TSV	not_applicable	not_applicable
row-14:row_field:reviewer_asr_confusion_terms	14	row_field		reviewer_asr_confusion_terms	pending	fill row-level response field in local response TSV	not_applicable	not_applicable
row-14:row_field:reviewer_would_asr_error_change_decision	14	row_field		reviewer_would_asr_error_change_decision	pending	fill row-level response field in local response TSV	not_applicable	not_applicable
row-14:row_field:reviewer_decision_change_reason	14	row_field		reviewer_decision_change_reason	pending	fill row-level response field in local response TSV	not_applicable	not_applicable
row-14:row_field:reviewer_expected_safe_action	14	row_field		reviewer_expected_safe_action	pending	fill row-level response field in local response TSV	not_applicable	not_applicable
row-14:row_field:reviewer_annotation_confidence	14	row_field		reviewer_annotation_confidence	pending	fill row-level response field in local response TSV	not_applicable	not_applicable
row-14:model_slot-1:model_reviewer_annotation_confidence	14	model_assessment_field	1	model_reviewer_annotation_confidence	pending	fill field for the corresponding model row in local response TSV	not_applicable	not_applicable
row-14:model_slot-1:model_reviewer_critical_atoms	14	model_assessment_field	1	model_reviewer_critical_atoms	pending	fill field for the corresponding model row in local response TSV	not_applicable	not_applicable
row-14:model_slot-1:model_reviewer_expected_safe_action	14	model_assessment_field	1	model_reviewer_expected_safe_action	pending	fill field for the corresponding model row in local response TSV	not_applicable	not_applicable
row-14:model_slot-1:model_reviewer_would_asr_error_change_decision	14	model_assessment_field	1	model_reviewer_would_asr_error_change_decision	pending	fill field for the corresponding model row in local response TSV	not_applicable	not_applicable
row-14:model_slot-2:model_reviewer_annotation_confidence	14	model_assessment_field	2	model_reviewer_annotation_confidence	pending	fill field for the corresponding model row in local response TSV	not_applicable	not_applicable
row-14:model_slot-2:model_reviewer_critical_atoms	14	model_assessment_field	2	model_reviewer_critical_atoms	pending	fill field for the corresponding model row in local response TSV	not_applicable	not_applicable
row-14:model_slot-2:model_reviewer_expected_safe_action	14	model_assessment_field	2	model_reviewer_expected_safe_action	pending	fill field for the corresponding model row in local response TSV	not_applicable	not_applicable
row-14:model_slot-2:model_reviewer_would_asr_error_change_decision	14	model_assessment_field	2	model_reviewer_would_asr_error_change_decision	pending	fill field for the corresponding model row in local response TSV	not_applicable	not_applicable
row-14:model_slot-3:model_reviewer_annotation_confidence	14	model_assessment_field	3	model_reviewer_annotation_confidence	pending	fill field for the corresponding model row in local response TSV	not_applicable	not_applicable
row-14:model_slot-3:model_reviewer_critical_atoms	14	model_assessment_field	3	model_reviewer_critical_atoms	pending	fill field for the corresponding model row in local response TSV	not_applicable	not_applicable
row-14:model_slot-3:model_reviewer_expected_safe_action	14	model_assessment_field	3	model_reviewer_expected_safe_action	pending	fill field for the corresponding model row in local response TSV	not_applicable	not_applicable
row-14:model_slot-3:model_reviewer_would_asr_error_change_decision	14	model_assessment_field	3	model_reviewer_would_asr_error_change_decision	pending	fill field for the corresponding model row in local response TSV	not_applicable	not_applicable
row-14:review_timing	14	review_timing		review_timing	pending	record review_started_at/review_finished_at or review_elapsed_seconds	.venv/bin/python 80_semantic_risk_asr/annotation/mark_human_audit_response_timing.py --response-sheet 70_experiments/runs/janus_300_high_stakes_human_audit_selection_2026_05_25/artifacts/review_responses/2026-05-26T095716_0800_high_proxy_risk_response_template.tsv --row-number 14 --mark-start --write	.venv/bin/python 80_semantic_risk_asr/annotation/mark_human_audit_response_timing.py --response-sheet 70_experiments/runs/janus_300_high_stakes_human_audit_selection_2026_05_25/artifacts/review_responses/2026-05-26T095716_0800_high_proxy_risk_response_template.tsv --row-number 14 --mark-finish --write
row-15:row_field:reviewer_semantic_risk_label	15	row_field		reviewer_semantic_risk_label	pending	fill row-level response field in local response TSV	not_applicable	not_applicable
row-15:row_field:reviewer_risk_atoms	15	row_field		reviewer_risk_atoms	pending	fill row-level response field in local response TSV	not_applicable	not_applicable
row-15:row_field:reviewer_critical_atoms	15	row_field		reviewer_critical_atoms	pending	fill row-level response field in local response TSV	not_applicable	not_applicable
row-15:row_field:reviewer_asr_confusion_terms	15	row_field		reviewer_asr_confusion_terms	pending	fill row-level response field in local response TSV	not_applicable	not_applicable
row-15:row_field:reviewer_would_asr_error_change_decision	15	row_field		reviewer_would_asr_error_change_decision	pending	fill row-level response field in local response TSV	not_applicable	not_applicable
row-15:row_field:reviewer_decision_change_reason	15	row_field		reviewer_decision_change_reason	pending	fill row-level response field in local response TSV	not_applicable	not_applicable
row-15:row_field:reviewer_expected_safe_action	15	row_field		reviewer_expected_safe_action	pending	fill row-level response field in local response TSV	not_applicable	not_applicable
row-15:row_field:reviewer_annotation_confidence	15	row_field		reviewer_annotation_confidence	pending	fill row-level response field in local response TSV	not_applicable	not_applicable
row-15:model_slot-1:model_reviewer_annotation_confidence	15	model_assessment_field	1	model_reviewer_annotation_confidence	pending	fill field for the corresponding model row in local response TSV	not_applicable	not_applicable
row-15:model_slot-1:model_reviewer_critical_atoms	15	model_assessment_field	1	model_reviewer_critical_atoms	pending	fill field for the corresponding model row in local response TSV	not_applicable	not_applicable
row-15:model_slot-1:model_reviewer_expected_safe_action	15	model_assessment_field	1	model_reviewer_expected_safe_action	pending	fill field for the corresponding model row in local response TSV	not_applicable	not_applicable
row-15:model_slot-1:model_reviewer_would_asr_error_change_decision	15	model_assessment_field	1	model_reviewer_would_asr_error_change_decision	pending	fill field for the corresponding model row in local response TSV	not_applicable	not_applicable
row-15:model_slot-2:model_reviewer_annotation_confidence	15	model_assessment_field	2	model_reviewer_annotation_confidence	pending	fill field for the corresponding model row in local response TSV	not_applicable	not_applicable
row-15:model_slot-2:model_reviewer_critical_atoms	15	model_assessment_field	2	model_reviewer_critical_atoms	pending	fill field for the corresponding model row in local response TSV	not_applicable	not_applicable
row-15:model_slot-2:model_reviewer_expected_safe_action	15	model_assessment_field	2	model_reviewer_expected_safe_action	pending	fill field for the corresponding model row in local response TSV	not_applicable	not_applicable
row-15:model_slot-2:model_reviewer_would_asr_error_change_decision	15	model_assessment_field	2	model_reviewer_would_asr_error_change_decision	pending	fill field for the corresponding model row in local response TSV	not_applicable	not_applicable
row-15:model_slot-3:model_reviewer_annotation_confidence	15	model_assessment_field	3	model_reviewer_annotation_confidence	pending	fill field for the corresponding model row in local response TSV	not_applicable	not_applicable
row-15:model_slot-3:model_reviewer_critical_atoms	15	model_assessment_field	3	model_reviewer_critical_atoms	pending	fill field for the corresponding model row in local response TSV	not_applicable	not_applicable
row-15:model_slot-3:model_reviewer_expected_safe_action	15	model_assessment_field	3	model_reviewer_expected_safe_action	pending	fill field for the corresponding model row in local response TSV	not_applicable	not_applicable
row-15:model_slot-3:model_reviewer_would_asr_error_change_decision	15	model_assessment_field	3	model_reviewer_would_asr_error_change_decision	pending	fill field for the corresponding model row in local response TSV	not_applicable	not_applicable
row-15:review_timing	15	review_timing		review_timing	pending	record review_started_at/review_finished_at or review_elapsed_seconds	.venv/bin/python 80_semantic_risk_asr/annotation/mark_human_audit_response_timing.py --response-sheet 70_experiments/runs/janus_300_high_stakes_human_audit_selection_2026_05_25/artifacts/review_responses/2026-05-26T095716_0800_high_proxy_risk_response_template.tsv --row-number 15 --mark-start --write	.venv/bin/python 80_semantic_risk_asr/annotation/mark_human_audit_response_timing.py --response-sheet 70_experiments/runs/janus_300_high_stakes_human_audit_selection_2026_05_25/artifacts/review_responses/2026-05-26T095716_0800_high_proxy_risk_response_template.tsv --row-number 15 --mark-finish --write
row-16:row_field:reviewer_semantic_risk_label	16	row_field		reviewer_semantic_risk_label	pending	fill row-level response field in local response TSV	not_applicable	not_applicable
row-16:row_field:reviewer_risk_atoms	16	row_field		reviewer_risk_atoms	pending	fill row-level response field in local response TSV	not_applicable	not_applicable
row-16:row_field:reviewer_critical_atoms	16	row_field		reviewer_critical_atoms	pending	fill row-level response field in local response TSV	not_applicable	not_applicable
row-16:row_field:reviewer_asr_confusion_terms	16	row_field		reviewer_asr_confusion_terms	pending	fill row-level response field in local response TSV	not_applicable	not_applicable
row-16:row_field:reviewer_would_asr_error_change_decision	16	row_field		reviewer_would_asr_error_change_decision	pending	fill row-level response field in local response TSV	not_applicable	not_applicable
row-16:row_field:reviewer_decision_change_reason	16	row_field		reviewer_decision_change_reason	pending	fill row-level response field in local response TSV	not_applicable	not_applicable
row-16:row_field:reviewer_expected_safe_action	16	row_field		reviewer_expected_safe_action	pending	fill row-level response field in local response TSV	not_applicable	not_applicable
row-16:row_field:reviewer_annotation_confidence	16	row_field		reviewer_annotation_confidence	pending	fill row-level response field in local response TSV	not_applicable	not_applicable
row-16:model_slot-1:model_reviewer_annotation_confidence	16	model_assessment_field	1	model_reviewer_annotation_confidence	pending	fill field for the corresponding model row in local response TSV	not_applicable	not_applicable
row-16:model_slot-1:model_reviewer_critical_atoms	16	model_assessment_field	1	model_reviewer_critical_atoms	pending	fill field for the corresponding model row in local response TSV	not_applicable	not_applicable
row-16:model_slot-1:model_reviewer_expected_safe_action	16	model_assessment_field	1	model_reviewer_expected_safe_action	pending	fill field for the corresponding model row in local response TSV	not_applicable	not_applicable
row-16:model_slot-1:model_reviewer_would_asr_error_change_decision	16	model_assessment_field	1	model_reviewer_would_asr_error_change_decision	pending	fill field for the corresponding model row in local response TSV	not_applicable	not_applicable
row-16:model_slot-2:model_reviewer_annotation_confidence	16	model_assessment_field	2	model_reviewer_annotation_confidence	pending	fill field for the corresponding model row in local response TSV	not_applicable	not_applicable
row-16:model_slot-2:model_reviewer_critical_atoms	16	model_assessment_field	2	model_reviewer_critical_atoms	pending	fill field for the corresponding model row in local response TSV	not_applicable	not_applicable
row-16:model_slot-2:model_reviewer_expected_safe_action	16	model_assessment_field	2	model_reviewer_expected_safe_action	pending	fill field for the corresponding model row in local response TSV	not_applicable	not_applicable
row-16:model_slot-2:model_reviewer_would_asr_error_change_decision	16	model_assessment_field	2	model_reviewer_would_asr_error_change_decision	pending	fill field for the corresponding model row in local response TSV	not_applicable	not_applicable
row-16:model_slot-3:model_reviewer_annotation_confidence	16	model_assessment_field	3	model_reviewer_annotation_confidence	pending	fill field for the corresponding model row in local response TSV	not_applicable	not_applicable
row-16:model_slot-3:model_reviewer_critical_atoms	16	model_assessment_field	3	model_reviewer_critical_atoms	pending	fill field for the corresponding model row in local response TSV	not_applicable	not_applicable
row-16:model_slot-3:model_reviewer_expected_safe_action	16	model_assessment_field	3	model_reviewer_expected_safe_action	pending	fill field for the corresponding model row in local response TSV	not_applicable	not_applicable
row-16:model_slot-3:model_reviewer_would_asr_error_change_decision	16	model_assessment_field	3	model_reviewer_would_asr_error_change_decision	pending	fill field for the corresponding model row in local response TSV	not_applicable	not_applicable
row-16:review_timing	16	review_timing		review_timing	pending	record review_started_at/review_finished_at or review_elapsed_seconds	.venv/bin/python 80_semantic_risk_asr/annotation/mark_human_audit_response_timing.py --response-sheet 70_experiments/runs/janus_300_high_stakes_human_audit_selection_2026_05_25/artifacts/review_responses/2026-05-26T095716_0800_high_proxy_risk_response_template.tsv --row-number 16 --mark-start --write	.venv/bin/python 80_semantic_risk_asr/annotation/mark_human_audit_response_timing.py --response-sheet 70_experiments/runs/janus_300_high_stakes_human_audit_selection_2026_05_25/artifacts/review_responses/2026-05-26T095716_0800_high_proxy_risk_response_template.tsv --row-number 16 --mark-finish --write
row-17:row_field:reviewer_semantic_risk_label	17	row_field		reviewer_semantic_risk_label	pending	fill row-level response field in local response TSV	not_applicable	not_applicable
row-17:row_field:reviewer_risk_atoms	17	row_field		reviewer_risk_atoms	pending	fill row-level response field in local response TSV	not_applicable	not_applicable
row-17:row_field:reviewer_critical_atoms	17	row_field		reviewer_critical_atoms	pending	fill row-level response field in local response TSV	not_applicable	not_applicable
row-17:row_field:reviewer_asr_confusion_terms	17	row_field		reviewer_asr_confusion_terms	pending	fill row-level response field in local response TSV	not_applicable	not_applicable
row-17:row_field:reviewer_would_asr_error_change_decision	17	row_field		reviewer_would_asr_error_change_decision	pending	fill row-level response field in local response TSV	not_applicable	not_applicable
row-17:row_field:reviewer_decision_change_reason	17	row_field		reviewer_decision_change_reason	pending	fill row-level response field in local response TSV	not_applicable	not_applicable
row-17:row_field:reviewer_expected_safe_action	17	row_field		reviewer_expected_safe_action	pending	fill row-level response field in local response TSV	not_applicable	not_applicable
row-17:row_field:reviewer_annotation_confidence	17	row_field		reviewer_annotation_confidence	pending	fill row-level response field in local response TSV	not_applicable	not_applicable
row-17:model_slot-1:model_reviewer_annotation_confidence	17	model_assessment_field	1	model_reviewer_annotation_confidence	pending	fill field for the corresponding model row in local response TSV	not_applicable	not_applicable
row-17:model_slot-1:model_reviewer_critical_atoms	17	model_assessment_field	1	model_reviewer_critical_atoms	pending	fill field for the corresponding model row in local response TSV	not_applicable	not_applicable
row-17:model_slot-1:model_reviewer_expected_safe_action	17	model_assessment_field	1	model_reviewer_expected_safe_action	pending	fill field for the corresponding model row in local response TSV	not_applicable	not_applicable
row-17:model_slot-1:model_reviewer_would_asr_error_change_decision	17	model_assessment_field	1	model_reviewer_would_asr_error_change_decision	pending	fill field for the corresponding model row in local response TSV	not_applicable	not_applicable
row-17:model_slot-2:model_reviewer_annotation_confidence	17	model_assessment_field	2	model_reviewer_annotation_confidence	pending	fill field for the corresponding model row in local response TSV	not_applicable	not_applicable
row-17:model_slot-2:model_reviewer_critical_atoms	17	model_assessment_field	2	model_reviewer_critical_atoms	pending	fill field for the corresponding model row in local response TSV	not_applicable	not_applicable
row-17:model_slot-2:model_reviewer_expected_safe_action	17	model_assessment_field	2	model_reviewer_expected_safe_action	pending	fill field for the corresponding model row in local response TSV	not_applicable	not_applicable
row-17:model_slot-2:model_reviewer_would_asr_error_change_decision	17	model_assessment_field	2	model_reviewer_would_asr_error_change_decision	pending	fill field for the corresponding model row in local response TSV	not_applicable	not_applicable
row-17:model_slot-3:model_reviewer_annotation_confidence	17	model_assessment_field	3	model_reviewer_annotation_confidence	pending	fill field for the corresponding model row in local response TSV	not_applicable	not_applicable
row-17:model_slot-3:model_reviewer_critical_atoms	17	model_assessment_field	3	model_reviewer_critical_atoms	pending	fill field for the corresponding model row in local response TSV	not_applicable	not_applicable
row-17:model_slot-3:model_reviewer_expected_safe_action	17	model_assessment_field	3	model_reviewer_expected_safe_action	pending	fill field for the corresponding model row in local response TSV	not_applicable	not_applicable
row-17:model_slot-3:model_reviewer_would_asr_error_change_decision	17	model_assessment_field	3	model_reviewer_would_asr_error_change_decision	pending	fill field for the corresponding model row in local response TSV	not_applicable	not_applicable
row-17:review_timing	17	review_timing		review_timing	pending	record review_started_at/review_finished_at or review_elapsed_seconds	.venv/bin/python 80_semantic_risk_asr/annotation/mark_human_audit_response_timing.py --response-sheet 70_experiments/runs/janus_300_high_stakes_human_audit_selection_2026_05_25/artifacts/review_responses/2026-05-26T095716_0800_high_proxy_risk_response_template.tsv --row-number 17 --mark-start --write	.venv/bin/python 80_semantic_risk_asr/annotation/mark_human_audit_response_timing.py --response-sheet 70_experiments/runs/janus_300_high_stakes_human_audit_selection_2026_05_25/artifacts/review_responses/2026-05-26T095716_0800_high_proxy_risk_response_template.tsv --row-number 17 --mark-finish --write
row-18:row_field:reviewer_semantic_risk_label	18	row_field		reviewer_semantic_risk_label	pending	fill row-level response field in local response TSV	not_applicable	not_applicable
row-18:row_field:reviewer_risk_atoms	18	row_field		reviewer_risk_atoms	pending	fill row-level response field in local response TSV	not_applicable	not_applicable
row-18:row_field:reviewer_critical_atoms	18	row_field		reviewer_critical_atoms	pending	fill row-level response field in local response TSV	not_applicable	not_applicable
row-18:row_field:reviewer_asr_confusion_terms	18	row_field		reviewer_asr_confusion_terms	pending	fill row-level response field in local response TSV	not_applicable	not_applicable
row-18:row_field:reviewer_would_asr_error_change_decision	18	row_field		reviewer_would_asr_error_change_decision	pending	fill row-level response field in local response TSV	not_applicable	not_applicable
row-18:row_field:reviewer_decision_change_reason	18	row_field		reviewer_decision_change_reason	pending	fill row-level response field in local response TSV	not_applicable	not_applicable
row-18:row_field:reviewer_expected_safe_action	18	row_field		reviewer_expected_safe_action	pending	fill row-level response field in local response TSV	not_applicable	not_applicable
row-18:row_field:reviewer_annotation_confidence	18	row_field		reviewer_annotation_confidence	pending	fill row-level response field in local response TSV	not_applicable	not_applicable
row-18:model_slot-1:model_reviewer_annotation_confidence	18	model_assessment_field	1	model_reviewer_annotation_confidence	pending	fill field for the corresponding model row in local response TSV	not_applicable	not_applicable
row-18:model_slot-1:model_reviewer_critical_atoms	18	model_assessment_field	1	model_reviewer_critical_atoms	pending	fill field for the corresponding model row in local response TSV	not_applicable	not_applicable
row-18:model_slot-1:model_reviewer_expected_safe_action	18	model_assessment_field	1	model_reviewer_expected_safe_action	pending	fill field for the corresponding model row in local response TSV	not_applicable	not_applicable
row-18:model_slot-1:model_reviewer_would_asr_error_change_decision	18	model_assessment_field	1	model_reviewer_would_asr_error_change_decision	pending	fill field for the corresponding model row in local response TSV	not_applicable	not_applicable
row-18:model_slot-2:model_reviewer_annotation_confidence	18	model_assessment_field	2	model_reviewer_annotation_confidence	pending	fill field for the corresponding model row in local response TSV	not_applicable	not_applicable
row-18:model_slot-2:model_reviewer_critical_atoms	18	model_assessment_field	2	model_reviewer_critical_atoms	pending	fill field for the corresponding model row in local response TSV	not_applicable	not_applicable
row-18:model_slot-2:model_reviewer_expected_safe_action	18	model_assessment_field	2	model_reviewer_expected_safe_action	pending	fill field for the corresponding model row in local response TSV	not_applicable	not_applicable
row-18:model_slot-2:model_reviewer_would_asr_error_change_decision	18	model_assessment_field	2	model_reviewer_would_asr_error_change_decision	pending	fill field for the corresponding model row in local response TSV	not_applicable	not_applicable
row-18:model_slot-3:model_reviewer_annotation_confidence	18	model_assessment_field	3	model_reviewer_annotation_confidence	pending	fill field for the corresponding model row in local response TSV	not_applicable	not_applicable
row-18:model_slot-3:model_reviewer_critical_atoms	18	model_assessment_field	3	model_reviewer_critical_atoms	pending	fill field for the corresponding model row in local response TSV	not_applicable	not_applicable
row-18:model_slot-3:model_reviewer_expected_safe_action	18	model_assessment_field	3	model_reviewer_expected_safe_action	pending	fill field for the corresponding model row in local response TSV	not_applicable	not_applicable
row-18:model_slot-3:model_reviewer_would_asr_error_change_decision	18	model_assessment_field	3	model_reviewer_would_asr_error_change_decision	pending	fill field for the corresponding model row in local response TSV	not_applicable	not_applicable
row-18:review_timing	18	review_timing		review_timing	pending	record review_started_at/review_finished_at or review_elapsed_seconds	.venv/bin/python 80_semantic_risk_asr/annotation/mark_human_audit_response_timing.py --response-sheet 70_experiments/runs/janus_300_high_stakes_human_audit_selection_2026_05_25/artifacts/review_responses/2026-05-26T095716_0800_high_proxy_risk_response_template.tsv --row-number 18 --mark-start --write	.venv/bin/python 80_semantic_risk_asr/annotation/mark_human_audit_response_timing.py --response-sheet 70_experiments/runs/janus_300_high_stakes_human_audit_selection_2026_05_25/artifacts/review_responses/2026-05-26T095716_0800_high_proxy_risk_response_template.tsv --row-number 18 --mark-finish --write
