work_order_id	row_number	step_order	step_type	status	pending_action_items	reviewer_instruction	command	completion_signal	privacy_boundary
row-9:01-mark-timing-start	9	01	mark_timing_start	pending	1	start timing immediately before opening local row content	.venv/bin/python 80_semantic_risk_asr/annotation/mark_human_audit_response_timing.py --response-sheet 70_experiments/runs/janus_300_high_stakes_human_audit_selection_2026_05_25/artifacts/review_responses/2026-05-26T092502_0800_unsafe_downrouting_response_template.tsv --row-number 9 --mark-start --write	review_started_at is present for every model row in this selected row	tracked command only; local response TSV remains ignored
row-9:02-open-local-row	9	02	open_local_row	local_only_required	0	inspect transcript-bearing row locally only	.venv/bin/python 80_semantic_risk_asr/annotation/review_human_risk_atom_audit.py --audit-sheet 70_experiments/runs/janus_300_high_stakes_human_audit_selection_2026_05_25/artifacts/human_risk_atom_audit_sheet.tsv --row-number 9 --show-row --access-log 70_experiments/runs/janus_300_high_stakes_human_audit_selection_2026_05_25/human_audit_local_row_access_log.tsv	reviewer has inspected the local row without copying content into git	command output is transcript-bearing and must stay local-only
row-9:03-fill-row-fields	9	03	fill_row_fields	pending	8	fill row-level fields in local response TSV: reviewer_annotation_confidence,reviewer_asr_confusion_terms,reviewer_critical_atoms,reviewer_decision_change_reason,reviewer_expected_safe_action,reviewer_risk_atoms,reviewer_semantic_risk_label,reviewer_would_asr_error_change_decision	manual local response TSV entry	row_response_complete becomes true in strict dry-run	field names are tracked; reviewer values stay local until aggregate refresh
row-9:04-fill-model-fields	9	04	fill_model_fields	pending	12	fill model-level fields in local response TSV for slots 1,2,3: model_reviewer_annotation_confidence,model_reviewer_critical_atoms,model_reviewer_expected_safe_action,model_reviewer_would_asr_error_change_decision	manual local response TSV entry	model_assessments_missing_count becomes 0 in strict dry-run	field names and slot numbers are tracked; model judgements stay local until aggregate refresh
row-9:05-mark-timing-finish	9	05	mark_timing_finish	pending	1	finish timing immediately after row/model fields are filled	.venv/bin/python 80_semantic_risk_asr/annotation/mark_human_audit_response_timing.py --response-sheet 70_experiments/runs/janus_300_high_stakes_human_audit_selection_2026_05_25/artifacts/review_responses/2026-05-26T092502_0800_unsafe_downrouting_response_template.tsv --row-number 9 --mark-finish --write	review_finished_at or review_elapsed_seconds is present for this selected row	tracked command only; local response TSV remains ignored
row-10:01-mark-timing-start	10	01	mark_timing_start	pending	1	start timing immediately before opening local row content	.venv/bin/python 80_semantic_risk_asr/annotation/mark_human_audit_response_timing.py --response-sheet 70_experiments/runs/janus_300_high_stakes_human_audit_selection_2026_05_25/artifacts/review_responses/2026-05-26T092502_0800_unsafe_downrouting_response_template.tsv --row-number 10 --mark-start --write	review_started_at is present for every model row in this selected row	tracked command only; local response TSV remains ignored
row-10:02-open-local-row	10	02	open_local_row	local_only_required	0	inspect transcript-bearing row locally only	.venv/bin/python 80_semantic_risk_asr/annotation/review_human_risk_atom_audit.py --audit-sheet 70_experiments/runs/janus_300_high_stakes_human_audit_selection_2026_05_25/artifacts/human_risk_atom_audit_sheet.tsv --row-number 10 --show-row --access-log 70_experiments/runs/janus_300_high_stakes_human_audit_selection_2026_05_25/human_audit_local_row_access_log.tsv	reviewer has inspected the local row without copying content into git	command output is transcript-bearing and must stay local-only
row-10:03-fill-row-fields	10	03	fill_row_fields	pending	8	fill row-level fields in local response TSV: reviewer_annotation_confidence,reviewer_asr_confusion_terms,reviewer_critical_atoms,reviewer_decision_change_reason,reviewer_expected_safe_action,reviewer_risk_atoms,reviewer_semantic_risk_label,reviewer_would_asr_error_change_decision	manual local response TSV entry	row_response_complete becomes true in strict dry-run	field names are tracked; reviewer values stay local until aggregate refresh
row-10:04-fill-model-fields	10	04	fill_model_fields	pending	12	fill model-level fields in local response TSV for slots 1,2,3: model_reviewer_annotation_confidence,model_reviewer_critical_atoms,model_reviewer_expected_safe_action,model_reviewer_would_asr_error_change_decision	manual local response TSV entry	model_assessments_missing_count becomes 0 in strict dry-run	field names and slot numbers are tracked; model judgements stay local until aggregate refresh
row-10:05-mark-timing-finish	10	05	mark_timing_finish	pending	1	finish timing immediately after row/model fields are filled	.venv/bin/python 80_semantic_risk_asr/annotation/mark_human_audit_response_timing.py --response-sheet 70_experiments/runs/janus_300_high_stakes_human_audit_selection_2026_05_25/artifacts/review_responses/2026-05-26T092502_0800_unsafe_downrouting_response_template.tsv --row-number 10 --mark-finish --write	review_finished_at or review_elapsed_seconds is present for this selected row	tracked command only; local response TSV remains ignored
row-11:01-mark-timing-start	11	01	mark_timing_start	pending	1	start timing immediately before opening local row content	.venv/bin/python 80_semantic_risk_asr/annotation/mark_human_audit_response_timing.py --response-sheet 70_experiments/runs/janus_300_high_stakes_human_audit_selection_2026_05_25/artifacts/review_responses/2026-05-26T092502_0800_unsafe_downrouting_response_template.tsv --row-number 11 --mark-start --write	review_started_at is present for every model row in this selected row	tracked command only; local response TSV remains ignored
row-11:02-open-local-row	11	02	open_local_row	local_only_required	0	inspect transcript-bearing row locally only	.venv/bin/python 80_semantic_risk_asr/annotation/review_human_risk_atom_audit.py --audit-sheet 70_experiments/runs/janus_300_high_stakes_human_audit_selection_2026_05_25/artifacts/human_risk_atom_audit_sheet.tsv --row-number 11 --show-row --access-log 70_experiments/runs/janus_300_high_stakes_human_audit_selection_2026_05_25/human_audit_local_row_access_log.tsv	reviewer has inspected the local row without copying content into git	command output is transcript-bearing and must stay local-only
row-11:03-fill-row-fields	11	03	fill_row_fields	pending	8	fill row-level fields in local response TSV: reviewer_annotation_confidence,reviewer_asr_confusion_terms,reviewer_critical_atoms,reviewer_decision_change_reason,reviewer_expected_safe_action,reviewer_risk_atoms,reviewer_semantic_risk_label,reviewer_would_asr_error_change_decision	manual local response TSV entry	row_response_complete becomes true in strict dry-run	field names are tracked; reviewer values stay local until aggregate refresh
row-11:04-fill-model-fields	11	04	fill_model_fields	pending	12	fill model-level fields in local response TSV for slots 1,2,3: model_reviewer_annotation_confidence,model_reviewer_critical_atoms,model_reviewer_expected_safe_action,model_reviewer_would_asr_error_change_decision	manual local response TSV entry	model_assessments_missing_count becomes 0 in strict dry-run	field names and slot numbers are tracked; model judgements stay local until aggregate refresh
row-11:05-mark-timing-finish	11	05	mark_timing_finish	pending	1	finish timing immediately after row/model fields are filled	.venv/bin/python 80_semantic_risk_asr/annotation/mark_human_audit_response_timing.py --response-sheet 70_experiments/runs/janus_300_high_stakes_human_audit_selection_2026_05_25/artifacts/review_responses/2026-05-26T092502_0800_unsafe_downrouting_response_template.tsv --row-number 11 --mark-finish --write	review_finished_at or review_elapsed_seconds is present for this selected row	tracked command only; local response TSV remains ignored
row-12:01-mark-timing-start	12	01	mark_timing_start	pending	1	start timing immediately before opening local row content	.venv/bin/python 80_semantic_risk_asr/annotation/mark_human_audit_response_timing.py --response-sheet 70_experiments/runs/janus_300_high_stakes_human_audit_selection_2026_05_25/artifacts/review_responses/2026-05-26T092502_0800_unsafe_downrouting_response_template.tsv --row-number 12 --mark-start --write	review_started_at is present for every model row in this selected row	tracked command only; local response TSV remains ignored
row-12:02-open-local-row	12	02	open_local_row	local_only_required	0	inspect transcript-bearing row locally only	.venv/bin/python 80_semantic_risk_asr/annotation/review_human_risk_atom_audit.py --audit-sheet 70_experiments/runs/janus_300_high_stakes_human_audit_selection_2026_05_25/artifacts/human_risk_atom_audit_sheet.tsv --row-number 12 --show-row --access-log 70_experiments/runs/janus_300_high_stakes_human_audit_selection_2026_05_25/human_audit_local_row_access_log.tsv	reviewer has inspected the local row without copying content into git	command output is transcript-bearing and must stay local-only
row-12:03-fill-row-fields	12	03	fill_row_fields	pending	8	fill row-level fields in local response TSV: reviewer_annotation_confidence,reviewer_asr_confusion_terms,reviewer_critical_atoms,reviewer_decision_change_reason,reviewer_expected_safe_action,reviewer_risk_atoms,reviewer_semantic_risk_label,reviewer_would_asr_error_change_decision	manual local response TSV entry	row_response_complete becomes true in strict dry-run	field names are tracked; reviewer values stay local until aggregate refresh
row-12:04-fill-model-fields	12	04	fill_model_fields	pending	12	fill model-level fields in local response TSV for slots 1,2,3: model_reviewer_annotation_confidence,model_reviewer_critical_atoms,model_reviewer_expected_safe_action,model_reviewer_would_asr_error_change_decision	manual local response TSV entry	model_assessments_missing_count becomes 0 in strict dry-run	field names and slot numbers are tracked; model judgements stay local until aggregate refresh
row-12:05-mark-timing-finish	12	05	mark_timing_finish	pending	1	finish timing immediately after row/model fields are filled	.venv/bin/python 80_semantic_risk_asr/annotation/mark_human_audit_response_timing.py --response-sheet 70_experiments/runs/janus_300_high_stakes_human_audit_selection_2026_05_25/artifacts/review_responses/2026-05-26T092502_0800_unsafe_downrouting_response_template.tsv --row-number 12 --mark-finish --write	review_finished_at or review_elapsed_seconds is present for this selected row	tracked command only; local response TSV remains ignored
packet:06-strict-dry-run	packet	06	strict_dry_run	blocked_until_rows_complete	all	run only after every row/model/timing item is filled	.venv/bin/python 80_semantic_risk_asr/annotation/apply_human_audit_batch_response.py --require-complete --require-timing --require-session-start-gate --session-start-summary 70_experiments/runs/janus_300_high_stakes_human_audit_selection_2026_05_25/human_audit_reviewer_session_start_summary.json --response-sheet 70_experiments/runs/janus_300_high_stakes_human_audit_selection_2026_05_25/artifacts/review_responses/2026-05-26T092502_0800_unsafe_downrouting_response_template.tsv --audit-sheet 70_experiments/runs/janus_300_high_stakes_human_audit_selection_2026_05_25/artifacts/human_risk_atom_audit_sheet.tsv --batch-summary 70_experiments/runs/janus_300_high_stakes_human_audit_selection_2026_05_25/human_audit_next_review_batch_summary.json --output-dir 70_experiments/runs/janus_300_high_stakes_human_audit_selection_2026_05_25 --readiness-output-dir 70_experiments/runs/postdoc_evidence_chain_2026_05_25 --expected-rows 30	apply status is response_complete	aggregate-only apply summary/log are tracked
packet:07-response-closeout	packet	07	response_closeout	blocked_until_response_complete	all	rerun closeout after strict dry-run passes	.venv/bin/python 80_semantic_risk_asr/annotation/build_human_audit_response_closeout_checklist.py	closeout status is response_complete_ready_to_write	closeout is aggregate-only
packet:08-post-review-sequence-execute	packet	08	post_review_sequence_execute	blocked_until_closeout_ready	post_closeout	execute the strict post-review sequence so write/refresh, human-reviewed recovery, post-review checklist, and objective audit stay ordered	.venv/bin/python 80_semantic_risk_asr/annotation/run_post_review_evidence_sequence.py --execute --allow-blocked-summary	post-review sequence summary records executed_step_count and stopped_step	sequence writes aggregate summaries/logs; local response TSV remains ignored
